	prefix	input_text	target_text
3116	translate hindi to english	फ़िल्म 'स्त्री' की सक्सेस पार्टी में पहुंचे बॉलीवुड के तमाम सितारे	Bollywood stars attend 'Simmba' success party
3117	translate english to hindi	Bollywood stars attend 'Simmba' success party	फ़िल्म 'स्त्री' की सक्सेस पार्टी में पहुंचे बॉलीवुड के तमाम सितारे
3118	translate hindi to english	ज़रूर ।	Could Bible truth change him?
3119	translate english to hindi	Could Bible truth change him?	ज़रूर ।
3120	translate hindi to english	अब आप उन्हें दबाकर हड़पने के कुंजी को परिभाषित कर सकते हैं. अपने चयन की पुष्टि के लिए ठीक बटन पर क्लिक करें जब आप इच्छित कुंजी को दबाया.	You can now define grab keys by pressing them. To confirm your selection please click OK button while you have desired keys pressed.
3121	translate english to hindi	You can now define grab keys by pressing them. To confirm your selection please click OK button while you have desired keys pressed.	अब आप उन्हें दबाकर हड़पने के कुंजी को परिभाषित कर सकते हैं. अपने चयन की पुष्टि के लिए ठीक बटन पर क्लिक करें जब आप इच्छित कुंजी को दबाया.
3122	translate hindi to english	पौलुस ने चिताया: “जिस का काम उस पर बना हुआ स्थिर रहेगा, वह मजदूरी पाएगा ।	If we teach poorly, there may be sad consequences.
3123	translate english to hindi	If we teach poorly, there may be sad consequences.	पौलुस ने चिताया: “जिस का काम उस पर बना हुआ स्थिर रहेगा, वह मजदूरी पाएगा ।
3124	translate hindi to english	याचिका पर सुनवाई करते हुए पीठ ने कहा कि यह मुद्दा एक महत्त्वपूर्ण प्रश्न से जुड़ा हुआ है कि क्या भारत के एक धर्मनिरपेक्ष देश होने के मद्देनजर सार्वजनिक संपत्ति पर इस तरह की धार्मिक गतिविधियों की इजाजत दी जा सकती है।	While hearing the petition, the bench said the issue was related to an important question whether such religious functions can be allowed on public properties in view of the fact that India is a secular nation.
3125	translate english to hindi	While hearing the petition, the bench said the issue was related to an important question whether such religious functions can be allowed on public properties in view of the fact that India is a secular nation.	याचिका पर सुनवाई करते हुए पीठ ने कहा कि यह मुद्दा एक महत्त्वपूर्ण प्रश्न से जुड़ा हुआ है कि क्या भारत के एक धर्मनिरपेक्ष देश होने के मद्देनजर सार्वजनिक संपत्ति पर इस तरह की धार्मिक गतिविधियों की इजाजत दी जा सकती है।
3126	translate hindi to english	, एशियन पेंट, आईसीआईसीआई बैंक, टीसीएस, एनटीपीसी, हिंदुस्तान यूनीलिवर, ओएनजीसी, रिलायंस इंडस्ट्रीज, एचडीएफसी लि.	Gains in Lupin, ITC Ltd, Asian Paint, ICICI Bank, TCS, NTPC, Hindustan Unilever, ONGC, Reliance Industries, HDFC Ltd, Axis Bank and Dr Reddys shares lifted the 30-share barometer higher.
3127	translate english to hindi	Gains in Lupin, ITC Ltd, Asian Paint, ICICI Bank, TCS, NTPC, Hindustan Unilever, ONGC, Reliance Industries, HDFC Ltd, Axis Bank and Dr Reddys shares lifted the 30-share barometer higher.	, एशियन पेंट, आईसीआईसीआई बैंक, टीसीएस, एनटीपीसी, हिंदुस्तान यूनीलिवर, ओएनजीसी, रिलायंस इंडस्ट्रीज, एचडीएफसी लि.
3128	translate hindi to english	तो जब तुम काफिरों से भिड़ो तो (उनकी) गर्दनें मारो यहाँ तक कि जब तुम उन्हें ज़ख्मों से चूर कर डालो तो उनकी मुश्कें कस लो फिर उसके बाद या तो एहसान रख (कर छोड़ दे) या मुआवेज़ा लेकर, यहाँ तक कि (दुशमन) लड़ाई के हथियार रख दे तो (याद रखो) अगर ख़ुदा चाहता तो (और तरह) उनसे बदला लेता मगर उसने चाहा कि तुम्हारी आज़माइश एक दूसरे से (लड़वा कर) करे और जो लोग ख़ुदा की राह में यहीद किये गए उनकी कारगुज़ारियों को ख़ुदा हरगिज़ अकारत न करेगा	Now when ye meet those who disbelieve, smite their necks until when ye have slain them greatly, then make fast the bonds. then, thereafter let them off either freely or by ransom, until the war layeth down the burthens thereof. That ye shall do. And had Allah willed, He would have vindicated Himself against them, but He ordained fighting in order that He may prove you one by the other. And those who are slain in the way of Allah, He shall not send their works astray.
3129	translate english to hindi	Now when ye meet those who disbelieve, smite their necks until when ye have slain them greatly, then make fast the bonds. then, thereafter let them off either freely or by ransom, until the war layeth down the burthens thereof. That ye shall do. And had Allah willed, He would have vindicated Himself against them, but He ordained fighting in order that He may prove you one by the other. And those who are slain in the way of Allah, He shall not send their works astray.	तो जब तुम काफिरों से भिड़ो तो (उनकी) गर्दनें मारो यहाँ तक कि जब तुम उन्हें ज़ख्मों से चूर कर डालो तो उनकी मुश्कें कस लो फिर उसके बाद या तो एहसान रख (कर छोड़ दे) या मुआवेज़ा लेकर, यहाँ तक कि (दुशमन) लड़ाई के हथियार रख दे तो (याद रखो) अगर ख़ुदा चाहता तो (और तरह) उनसे बदला लेता मगर उसने चाहा कि तुम्हारी आज़माइश एक दूसरे से (लड़वा कर) करे और जो लोग ख़ुदा की राह में यहीद किये गए उनकी कारगुज़ारियों को ख़ुदा हरगिज़ अकारत न करेगा
3130	translate hindi to english	इसका आरंभ ईसाईजगत्‌ के अस्तित्व में आने से अनेक शताब्दियाँ पहले हुआ ।	It originated many centuries before Christendom came into existence.
3131	translate english to hindi	It originated many centuries before Christendom came into existence.	इसका आरंभ ईसाईजगत्‌ के अस्तित्व में आने से अनेक शताब्दियाँ पहले हुआ ।
3132	translate hindi to english	स्नैच स्पर्धा में वेंकट ने पहली बारी में 147 किलो का वजन उठाया। हालांकि, दूसरी बार में वह 151 किलो का भार उठाने में असफल रहे, लेकिन तीसरी बारी में उन्होंने इसी भार को उठाकर शानदार प्रदर्शन किया। यह स्नैच में उनका सबसे अच्छा प्रदर्शन था।	Rahul impressed with a successful lift of 147kg in his first snatch attempt and went on to lift 151kg in his third and final lift after failing to carry the same weight in the second.
3133	translate english to hindi	Rahul impressed with a successful lift of 147kg in his first snatch attempt and went on to lift 151kg in his third and final lift after failing to carry the same weight in the second.	स्नैच स्पर्धा में वेंकट ने पहली बारी में 147 किलो का वजन उठाया। हालांकि, दूसरी बार में वह 151 किलो का भार उठाने में असफल रहे, लेकिन तीसरी बारी में उन्होंने इसी भार को उठाकर शानदार प्रदर्शन किया। यह स्नैच में उनका सबसे अच्छा प्रदर्शन था।
3134	translate hindi to english	एक्स- केबी विकल्प सक्षम करें (E)	Enable sticky switching
3135	translate english to hindi	Enable sticky switching	एक्स- केबी विकल्प सक्षम करें (E)
3136	translate hindi to english	वहीं, अनुच्छेद 371 बी असम के लिए विशेष प्रावधान उपलब्ध कराता है	There is also Article 371B, meant for Assam
3137	translate english to hindi	There is also Article 371B, meant for Assam	वहीं, अनुच्छेद 371 बी असम के लिए विशेष प्रावधान उपलब्ध कराता है
3138	translate hindi to english	किसी को अलॉट नहीं थी।	No one had.
3139	translate english to hindi	No one had.	किसी को अलॉट नहीं थी।
3140	translate hindi to english	धर्मत्यागियों का नकली प्यार हमारे विश्‍वास के लिए उतना ही खतरनाक होता है, जितना कि समुद्र में छिपी हुई चट्टान जहाज़ों या तैराकों के लिए होती है ।	Apostates feigning love are as dangerous to our faith as rocks hidden below water are to ships or swimmers.
3141	translate english to hindi	Apostates feigning love are as dangerous to our faith as rocks hidden below water are to ships or swimmers.	धर्मत्यागियों का नकली प्यार हमारे विश्‍वास के लिए उतना ही खतरनाक होता है, जितना कि समुद्र में छिपी हुई चट्टान जहाज़ों या तैराकों के लिए होती है ।
3142	translate hindi to english	हद से बढ़ने वाला गुनेहगार तुन्द मिजाज़	Hinderer of the good, transgressor, sinful,
3143	translate english to hindi	Hinderer of the good, transgressor, sinful,	हद से बढ़ने वाला गुनेहगार तुन्द मिजाज़
3144	translate hindi to english	वाणिज्य एवं उद्योग मंत्रालय पीयूष गोयल ने ई-कॉमर्स और लॉजिस्टिक उद्योग के हितधारकों के साथ वीडियो कॉन्फ्रेंस की सरकार यह सुनिश्चित करने के लिए प्रतिबद्ध है कि आवश्यक सामान लोगों तक सुविधाजनक और सुरक्षित तरीके से पहुंचे : पीयूष गोयल रेल, वाणिज्य एवं उद्योग मंत्री श्री पीयूष गोयल ने गुरुवार को ई-कॉमर्स और लॉजिस्टिक उद्योग के हितधारकों के साथ एक वीडियो कॉन्फ्रेंस की, जिसमें कोविड-19 से हुए लॉकडाउन के कारण आने वाली समस्याओं और उनके समाधान पर चर्चा की गई।	Ministry of Commerce Industry Shri Piyush Goyal holds video conference with stakeholders from e-Commerce and Logistics industry Says the Government is committed to ensure that essential goods reach the people in the most convenient and safest manner The Minister of Railways and Commerce Industry Shri Piyush Goyal held a video conference with stakeholders from e-Commerce and Logistics industry on Thursday, to discuss the issues faced by them due to COVID19 lockdown and measures to resolve them.
3145	translate english to hindi	Ministry of Commerce Industry Shri Piyush Goyal holds video conference with stakeholders from e-Commerce and Logistics industry Says the Government is committed to ensure that essential goods reach the people in the most convenient and safest manner The Minister of Railways and Commerce Industry Shri Piyush Goyal held a video conference with stakeholders from e-Commerce and Logistics industry on Thursday, to discuss the issues faced by them due to COVID19 lockdown and measures to resolve them.	वाणिज्य एवं उद्योग मंत्रालय पीयूष गोयल ने ई-कॉमर्स और लॉजिस्टिक उद्योग के हितधारकों के साथ वीडियो कॉन्फ्रेंस की सरकार यह सुनिश्चित करने के लिए प्रतिबद्ध है कि आवश्यक सामान लोगों तक सुविधाजनक और सुरक्षित तरीके से पहुंचे : पीयूष गोयल रेल, वाणिज्य एवं उद्योग मंत्री श्री पीयूष गोयल ने गुरुवार को ई-कॉमर्स और लॉजिस्टिक उद्योग के हितधारकों के साथ एक वीडियो कॉन्फ्रेंस की, जिसमें कोविड-19 से हुए लॉकडाउन के कारण आने वाली समस्याओं और उनके समाधान पर चर्चा की गई।
3146	translate hindi to english	समय के साथ-साथ पीईएसओ की भूमिका और दायित्व में कई गुना इजाफा हुआ और उसका विस्तार विविध क्षेत्रों तक हो चुका है।	Over the years, the role and responsibilities of PESO have increased manifold and expanded into diverse fields.
3147	translate english to hindi	Over the years, the role and responsibilities of PESO have increased manifold and expanded into diverse fields.	समय के साथ-साथ पीईएसओ की भूमिका और दायित्व में कई गुना इजाफा हुआ और उसका विस्तार विविध क्षेत्रों तक हो चुका है।
3148	translate hindi to english	इनका कोई साइड इफेक्‍ट भी नहीं होता.	There are no side effects.
3149	translate english to hindi	There are no side effects.	इनका कोई साइड इफेक्‍ट भी नहीं होता.
3150	translate hindi to english	उन्होंने कहा कि वह उच्च सुरक्षा पदों में कुछ तत्काल बदलाव करेंगे क्योंकि उनकी तरफ से जिम्मेदारी निभाने में लापरवाही बरती गई।	He said that he will make some immediate changes in the high security positions as there was negligence in carrying out responsibilities.
3151	translate english to hindi	He said that he will make some immediate changes in the high security positions as there was negligence in carrying out responsibilities.	उन्होंने कहा कि वह उच्च सुरक्षा पदों में कुछ तत्काल बदलाव करेंगे क्योंकि उनकी तरफ से जिम्मेदारी निभाने में लापरवाही बरती गई।
3152	translate hindi to english	(1) प्रत्येक प्रतिनिधि निर्धारिती उस आय के संबंध में जिसकी बाबत वह प्रतिनिधि निर्धारिती है, वैसे ही कर्त्तव्यों, उत्तरदायित्वों और दायित्वों के अधीन होगा जैसे कि वह होता यदि वह आय फायदाप्रद रूप में उसके द्वारा प्राप्त या उसको या उसके पक्ष में प्रोद्भूत आय होती है और उस आय की बाबत वह स्वयं अपने नाम में निर्धारण के दायित्वाधीन होगा. किंतु ऐसा कोर्इ निर्धारण उस पर उसकी प्रतिनिधिक हैसियत में ही किया गया समझा जाएगा और वह कर, इस अध्याय में अन्तर्विष्ट उन उपबंधों के अंतर्गत रहते हुए, उस पर उद्गृहीत और उससे वसूल उस रीति में और उसी परिमाण तक किया जाएगा जिसमें और जिस तक कि वह उस व्यक्ति पर उद्गृहीत और उससे वसूल किया जाता जिसका वह प्रतिनिधित्व करता है।	(1) Every representative assessee, as regards the income in respect of which he is a representative assessee, shall be subject to the same duties, responsibilities and liabilities as if the income were income received by or accruing to or in favour of him beneficially, and shall be liable to assessment in his own name in respect of that income. but any such assessment shall be deemed to be made upon him in his representative capacity only, and the tax shall, subject to the other provisions contained in this Chapter, be levied upon and recovered from him in like manner and to the same extent as it would be leviable upon and recoverable from the person represented by him.
3153	translate english to hindi	(1) Every representative assessee, as regards the income in respect of which he is a representative assessee, shall be subject to the same duties, responsibilities and liabilities as if the income were income received by or accruing to or in favour of him beneficially, and shall be liable to assessment in his own name in respect of that income. but any such assessment shall be deemed to be made upon him in his representative capacity only, and the tax shall, subject to the other provisions contained in this Chapter, be levied upon and recovered from him in like manner and to the same extent as it would be leviable upon and recoverable from the person represented by him.	(1) प्रत्येक प्रतिनिधि निर्धारिती उस आय के संबंध में जिसकी बाबत वह प्रतिनिधि निर्धारिती है, वैसे ही कर्त्तव्यों, उत्तरदायित्वों और दायित्वों के अधीन होगा जैसे कि वह होता यदि वह आय फायदाप्रद रूप में उसके द्वारा प्राप्त या उसको या उसके पक्ष में प्रोद्भूत आय होती है और उस आय की बाबत वह स्वयं अपने नाम में निर्धारण के दायित्वाधीन होगा. किंतु ऐसा कोर्इ निर्धारण उस पर उसकी प्रतिनिधिक हैसियत में ही किया गया समझा जाएगा और वह कर, इस अध्याय में अन्तर्विष्ट उन उपबंधों के अंतर्गत रहते हुए, उस पर उद्गृहीत और उससे वसूल उस रीति में और उसी परिमाण तक किया जाएगा जिसमें और जिस तक कि वह उस व्यक्ति पर उद्गृहीत और उससे वसूल किया जाता जिसका वह प्रतिनिधित्व करता है।
3154	translate hindi to english	कुंभ:कार्यभार में सफलता के साथ यश भी मिलेगा।	Aquarius: You will achieve success at work.
3155	translate english to hindi	Aquarius: You will achieve success at work.	कुंभ:कार्यभार में सफलता के साथ यश भी मिलेगा।
3156	translate hindi to english	भारत ने इस तरह से पहली पारी में 282 रन की बढ़त हासिल की थी।	India lose first wicket for 152 runs.
3157	translate english to hindi	India lose first wicket for 152 runs.	भारत ने इस तरह से पहली पारी में 282 रन की बढ़त हासिल की थी।
3158	translate hindi to english	चेचक के उपाय:	Remedial Measures:
3159	translate english to hindi	Remedial Measures:	चेचक के उपाय:
3160	translate hindi to english	इसी तरह संस्थान ने गेहूं की एचडी 2967 और एचडी 3086 किस्में विकसित की है, जो कि देश के गेहूं उत्पादन क्षेत्र के 10 मिलियन हेक्टयर क्षेत्र में उगाई जाती है।	Similarly, IARI Wheat varieties (HD 2967 and HD 3086), which are spread over 10 million hectares of the country's covered wheat area, is accelerating growth in wheat production.
3161	translate english to hindi	Similarly, IARI Wheat varieties (HD 2967 and HD 3086), which are spread over 10 million hectares of the country's covered wheat area, is accelerating growth in wheat production.	इसी तरह संस्थान ने गेहूं की एचडी 2967 और एचडी 3086 किस्में विकसित की है, जो कि देश के गेहूं उत्पादन क्षेत्र के 10 मिलियन हेक्टयर क्षेत्र में उगाई जाती है।
3162	translate hindi to english	जब 1977 में बिहार व उत्तर प्रदेश में जनता पार्टी की सरकार बनी थी तो उन्हें उत्तर प्रदेश में स्वास्थ्य मंत्री बनाया गया था, तब वह राज्य भाजपा के अध्यक्ष भी थे।	In 1977, when a rash of Janata governments were elected to power in UP and Bihar, and the BJP was part of these governments, he was made the health minister in the UP government as he was the BJP state president
3163	translate english to hindi	In 1977, when a rash of Janata governments were elected to power in UP and Bihar, and the BJP was part of these governments, he was made the health minister in the UP government as he was the BJP state president	जब 1977 में बिहार व उत्तर प्रदेश में जनता पार्टी की सरकार बनी थी तो उन्हें उत्तर प्रदेश में स्वास्थ्य मंत्री बनाया गया था, तब वह राज्य भाजपा के अध्यक्ष भी थे।
3164	translate hindi to english	चाहर गोत्र एक जाट गोत्र है।	Almost every tank has a control box.
3165	translate english to hindi	Almost every tank has a control box.	चाहर गोत्र एक जाट गोत्र है।
3166	translate hindi to english	आधुनिक लाइफस्टाइल भागदौड़ भरी है.	The modern life is a very busy one.
3167	translate english to hindi	The modern life is a very busy one.	आधुनिक लाइफस्टाइल भागदौड़ भरी है.
3168	translate hindi to english	त्वचा में भी निखार आता है।	It also softens the skin.
3169	translate english to hindi	It also softens the skin.	त्वचा में भी निखार आता है।
3170	translate hindi to english	योग का अनुभव	Exposure to yoga
3171	translate english to hindi	Exposure to yoga	योग का अनुभव
3172	translate hindi to english	हालांकि, दास को दूसरे टेस्ट से पहले प्रशिक्षण के दौरान एक फ्रैक्ट्रा रिब का सामना करना पड़ा, जिसमें मुशफिकुर रहीम अंतिम टेस्ट के लिए विकेटकीपर के रूप में लौट आए।	However, Das suffered a fractured rib during training ahead of the second Test, with Mushfiqur Rahim returning as the wicket-keeper for the final Test.
3173	translate english to hindi	However, Das suffered a fractured rib during training ahead of the second Test, with Mushfiqur Rahim returning as the wicket-keeper for the final Test.	हालांकि, दास को दूसरे टेस्ट से पहले प्रशिक्षण के दौरान एक फ्रैक्ट्रा रिब का सामना करना पड़ा, जिसमें मुशफिकुर रहीम अंतिम टेस्ट के लिए विकेटकीपर के रूप में लौट आए।
3174	translate hindi to english	एक्ट्रेस पायल घोष ने बॉलीवुड डायरेक्टर अनुराग कश्यप पर यौन शोषण का आरोप लगाया है.	Actor Payal Ghosh accused Bollywood Director Anurag Kashyap of sexually assaulting her.
3175	translate english to hindi	Actor Payal Ghosh accused Bollywood Director Anurag Kashyap of sexually assaulting her.	एक्ट्रेस पायल घोष ने बॉलीवुड डायरेक्टर अनुराग कश्यप पर यौन शोषण का आरोप लगाया है.
3176	translate hindi to english	बुनियादी ढांचे के निर्माण या मजबूत बनाने के लिए अधिकतम सहायता परियोजना लागत का 50% से अधिक है, परियोजना के आधार मिलान पर 150 लाख रुपए रुपए हो जाएगा।	Maximum assistance for creation or strengthening of infrastructure will be Rs. 150 lakhs on matching basis, not exceeding 50% of project cost.
3177	translate english to hindi	Maximum assistance for creation or strengthening of infrastructure will be Rs. 150 lakhs on matching basis, not exceeding 50% of project cost.	बुनियादी ढांचे के निर्माण या मजबूत बनाने के लिए अधिकतम सहायता परियोजना लागत का 50% से अधिक है, परियोजना के आधार मिलान पर 150 लाख रुपए रुपए हो जाएगा।
3178	translate hindi to english	इस मौके पर उनकी पत्नी और खास दोस्त मौजूद थे।	His wife and other relatives were also present on this occasion.
3179	translate english to hindi	His wife and other relatives were also present on this occasion.	इस मौके पर उनकी पत्नी और खास दोस्त मौजूद थे।
3180	translate hindi to english	क्योंकि, जबतक हम मन, प्राण और शरीर के त्रिविध स्तर के भीतर रहते हैं, तबतक मन के अन्दर स्थित आत्म को कुछ ज्ञान प्राप्त रहने पर भी हमारी सक्रिय प्रकृति अज्ञान की शक्ति के द्वारा कार्य करना जारी रखती है।	For so long as we are within the triple stratum of mind, life and body, our active nature continues to work in the force of the ignorance even when the soul in Mind 476 The Yoga of Integral Knowledge possesses something of the knowledge.
3181	translate english to hindi	For so long as we are within the triple stratum of mind, life and body, our active nature continues to work in the force of the ignorance even when the soul in Mind 476 The Yoga of Integral Knowledge possesses something of the knowledge.	क्योंकि, जबतक हम मन, प्राण और शरीर के त्रिविध स्तर के भीतर रहते हैं, तबतक मन के अन्दर स्थित आत्म को कुछ ज्ञान प्राप्त रहने पर भी हमारी सक्रिय प्रकृति अज्ञान की शक्ति के द्वारा कार्य करना जारी रखती है।
3182	translate hindi to english	आज इवेंट में कंपनी iPhone 11, iPhone 11 Pro और iPhone 11 Pro Max को लॉन्च करेगी।	The iPhone 11 series consists of iPhone 11, iPhone 11 Pro and iPhone 11 Pro Max.
3183	translate english to hindi	The iPhone 11 series consists of iPhone 11, iPhone 11 Pro and iPhone 11 Pro Max.	आज इवेंट में कंपनी iPhone 11, iPhone 11 Pro और iPhone 11 Pro Max को लॉन्च करेगी।
3184	translate hindi to english	वह फिर लौटकर भी नहीं आया।	She didnt return home.
3185	translate english to hindi	She didnt return home.	वह फिर लौटकर भी नहीं आया।
3186	translate hindi to english	भारतीय रेल ने विशेष यात्री ट्रेन सेवाएं शुरू करते हुए 12 मई से चलने वाली ट्रेनों के संबंध में नए दिशा-निर्देश जारी किए हैं।	Later on May 12, the Indian Railways resumed its services, initially with a pair of 15 special trains.
3187	translate english to hindi	Later on May 12, the Indian Railways resumed its services, initially with a pair of 15 special trains.	भारतीय रेल ने विशेष यात्री ट्रेन सेवाएं शुरू करते हुए 12 मई से चलने वाली ट्रेनों के संबंध में नए दिशा-निर्देश जारी किए हैं।
3188	translate hindi to english	साथ ही पूर्वोत्‍तर क्षेत्र में राजमार्गों एवं सड़कों का नेटवर्क तैयार करने के लिए भारतमाला के तहत अगले 2 से 3 वर्षों में 30,000 करोड़ रुपये का निवेश किया जाएगा	The Union Government will be investing another Rupees 60,000 crore under Special Accelerated Road Development Programme in the North-East and Rs.30,000 crore under Bharatmala in the next two to three years to build a network of high-ways and roads in the North East Region
3189	translate english to hindi	The Union Government will be investing another Rupees 60,000 crore under Special Accelerated Road Development Programme in the North-East and Rs.30,000 crore under Bharatmala in the next two to three years to build a network of high-ways and roads in the North East Region	साथ ही पूर्वोत्‍तर क्षेत्र में राजमार्गों एवं सड़कों का नेटवर्क तैयार करने के लिए भारतमाला के तहत अगले 2 से 3 वर्षों में 30,000 करोड़ रुपये का निवेश किया जाएगा
3190	translate hindi to english	"""कहो, """"निश्चय ही मेरा रब सत्य को असत्य पर ग़ालिब करता है। वह परोक्ष की बातें भली-भाँथि जानता है।"""""""	Say: 'My Lord hurls the truth -- the Knower of the Unseen.'
3191	translate english to hindi	Say: 'My Lord hurls the truth -- the Knower of the Unseen.'	"""कहो, """"निश्चय ही मेरा रब सत्य को असत्य पर ग़ालिब करता है। वह परोक्ष की बातें भली-भाँथि जानता है।"""""""
3192	translate hindi to english	सूत्रों का कहना है कि पीवीआर सिनेमाा, बिग सिनेमाा, यूटीवी और यूएफओ इस दौड़ में शामिल हैं।	Sources say PVR Cinemas, BIG Cinemas, UTV and UFO are in the race
3193	translate english to hindi	Sources say PVR Cinemas, BIG Cinemas, UTV and UFO are in the race	सूत्रों का कहना है कि पीवीआर सिनेमाा, बिग सिनेमाा, यूटीवी और यूएफओ इस दौड़ में शामिल हैं।
3194	translate hindi to english	मान्यता मुताबिक इस दिन भगवान दत्तात्रेय का जन्म हुआ था।	According to Hindu rituals, it is said that Lord Dattatreya was born on this day.
3195	translate english to hindi	According to Hindu rituals, it is said that Lord Dattatreya was born on this day.	मान्यता मुताबिक इस दिन भगवान दत्तात्रेय का जन्म हुआ था।
3196	translate hindi to english	सोमसुंदरम ने कहा कि दूसरी तिमाही में देश में सोने के गैरकानूनी प्रवाह में बढ़ोतरी हुई जिससे संगठित स्वर्ण उद्योग का कारोबार और कर अनुपालन प्रभावित हुआ।	The second quarter also witnessed a spurt in the flow of unofficial gold into the country, significantly impacting the organised and tax compliant segments of the gold industry, Somasundaram opined.
3197	translate english to hindi	The second quarter also witnessed a spurt in the flow of unofficial gold into the country, significantly impacting the organised and tax compliant segments of the gold industry, Somasundaram opined.	सोमसुंदरम ने कहा कि दूसरी तिमाही में देश में सोने के गैरकानूनी प्रवाह में बढ़ोतरी हुई जिससे संगठित स्वर्ण उद्योग का कारोबार और कर अनुपालन प्रभावित हुआ।
3198	translate hindi to english	मामले में एक व्यक्ति को गिरफ्तार किया गया	One person has been detained in the matter.
3199	translate english to hindi	One person has been detained in the matter.	मामले में एक व्यक्ति को गिरफ्तार किया गया
3200	translate hindi to english	इसमें करीब 2000 हजार बच्चों ने भाग लिया था।	Around 2000 children participated in the event.
3201	translate english to hindi	Around 2000 children participated in the event.	इसमें करीब 2000 हजार बच्चों ने भाग लिया था।
3202	translate hindi to english	मांझी के करीबी इस व्यक्ति ने बताया, “कोई व्यक्ति और विचार जो एनडीए को हराने में मदद कर सकता है, उसका स्वागत है।	Any person or idea that can help defeat NDA is welcome, said the source close to Jitan Ram Manjhi.
3203	translate english to hindi	Any person or idea that can help defeat NDA is welcome, said the source close to Jitan Ram Manjhi.	मांझी के करीबी इस व्यक्ति ने बताया, “कोई व्यक्ति और विचार जो एनडीए को हराने में मदद कर सकता है, उसका स्वागत है।
3204	translate hindi to english	प्रत्येक आगंतुक की जानकारी एक रजिस्टर में दर्ज की जाती है और सीसीटीवी कैमरे आगंतुकों की हर गतिविधि पर नजर रखते हैं।	Details of each visitor will be noted in a register and CCTV cameras will keep a watch on the movement of visitors.
3205	translate english to hindi	Details of each visitor will be noted in a register and CCTV cameras will keep a watch on the movement of visitors.	प्रत्येक आगंतुक की जानकारी एक रजिस्टर में दर्ज की जाती है और सीसीटीवी कैमरे आगंतुकों की हर गतिविधि पर नजर रखते हैं।
3206	translate hindi to english	नदी किनारों, दलदल और वृक्षहीन भूमि, जहां घने पौधे पाए जाते हैं, से दूर वनस्थल अपेक्षाकृत वनस्पतिहीन है, क्योंकि सूर्य की बहुत ही कम रोशनी यहां तक पहुंचती है।	Away from riverbanks, swamps and clearings, where dense undergrowth is found, the forest floor is relatively clear of vegetation because of the low sunlight penetration.
3207	translate english to hindi	Away from riverbanks, swamps and clearings, where dense undergrowth is found, the forest floor is relatively clear of vegetation because of the low sunlight penetration.	नदी किनारों, दलदल और वृक्षहीन भूमि, जहां घने पौधे पाए जाते हैं, से दूर वनस्थल अपेक्षाकृत वनस्पतिहीन है, क्योंकि सूर्य की बहुत ही कम रोशनी यहां तक पहुंचती है।
3208	translate hindi to english	वहीं, 17 अन्य लोगों को उसी दिन दशाश्वमेध घाट सहित आस-पास के अन्य इलाकों से गिरफ्तार किया गया था.	Another 17 people were arrested the same day from nearby localities, including the Dashashwamedh Ghat.
3209	translate english to hindi	Another 17 people were arrested the same day from nearby localities, including the Dashashwamedh Ghat.	वहीं, 17 अन्य लोगों को उसी दिन दशाश्वमेध घाट सहित आस-पास के अन्य इलाकों से गिरफ्तार किया गया था.
3210	translate hindi to english	सेल में OnePlus 6T स्मार्टफोन डिस्काउंट के बाद 33,499 रुपये में बेचा जा रहा है।	OnePlus 6 retails at a starting price of Rs 34,999 for the 6GB RAM model.
3211	translate english to hindi	OnePlus 6 retails at a starting price of Rs 34,999 for the 6GB RAM model.	सेल में OnePlus 6T स्मार्टफोन डिस्काउंट के बाद 33,499 रुपये में बेचा जा रहा है।
3212	translate hindi to english	ड्रग एडमिनिस्ट्रेशन विभाग के एक वरिष्ठ अधिकारी संतोष केसी ने कहा कि नेपाल में आपातकालीन उपयोग के लिए चीनी वैक्सीन को सशर्त अनुमति दी गई है।	"""""""Conditional permission has been granted to the Chinese vaccine for its emergency use in Nepal,"""" said Santosh K.C, a senior official in the Department of Drug Administration."""
3213	translate english to hindi	"""""""Conditional permission has been granted to the Chinese vaccine for its emergency use in Nepal,"""" said Santosh K.C, a senior official in the Department of Drug Administration."""	ड्रग एडमिनिस्ट्रेशन विभाग के एक वरिष्ठ अधिकारी संतोष केसी ने कहा कि नेपाल में आपातकालीन उपयोग के लिए चीनी वैक्सीन को सशर्त अनुमति दी गई है।
3214	translate hindi to english	बैठक में जिला पंचायत के मुख्य कार्यपालन अधिकारी अनुराग पाण्डेय, सहायक कलेक्टर डॉ. नितिन गौड़ सहित अन्य जिला अधिकारी उपस्थित थे।	In the meeting, Municipal Commissioner Anay Dwivedi, District Panchayat officer Neeraj Kumar Singh along with other departmental officers were present.
